ㅁㄴ,메뉴,아이디,배당,양,text,text2
1421,봉봉에그랩(Bonbon eggrap),치즈라면,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1422,봉봉에그랩(Bonbon eggrap),미숫가루 라떼,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1423,봉봉에그랩(Bonbon eggrap),통라즈베리 주스,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1424,봉봉에그랩(Bonbon eggrap),30년 로스팅 경력 아메리카노,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1425,봉봉에그랩(Bonbon eggrap),매콤돈까스 봉봉,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1426,봉봉에그랩(Bonbon eggrap),트러플 머쉬룸 스프,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1427,봉봉에그랩(Bonbon eggrap),퇴근길떡볶이,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1428,봉봉에그랩(Bonbon eggrap),플레인 봉봉,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1429,봉봉에그랩(Bonbon eggrap),게살치즈 봉봉,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1430,봉봉에그랩(Bonbon eggrap),베이컨 봉봉,경복궁역4번 출구에서64m,영업 중19:00에 라스트오더19시 0분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷","한국적인 따듯한 스낵과 음료를 제공하며, 편안히 아늑함을 느끼며 잠시 쉬어갈 수 있는 공간을 마련하였습니다."
1431,경복궁 남도식탁,녹두삼계탕,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1432,경복궁 남도식탁,불고기 정식,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1433,경복궁 남도식탁,보리굴비 정식,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1434,경복궁 남도식탁,삼겹살,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1435,경복궁 남도식탁,한우 차돌,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1436,경복궁 남도식탁,갈치 정식,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1437,경복궁 남도식탁,우럭포 정식,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1438,경복궁 남도식탁,불고기 뚝배기,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1439,경복궁 남도식탁,연포탕,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1440,경복궁 남도식탁,추어탕,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1441,경복궁 남도식탁,동태탕,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1442,경복궁 남도식탁,굴국,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1443,경복궁 남도식탁,홍어애탕,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1444,경복궁 남도식탁,민어전,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1445,경복궁 남도식탁,비빔밥,경복궁역4번 출구에서124m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,,서산진국집이 4월 3일(월) 새롭게 경복궁 남도식탁으로 오픈합니다 :)
1446,사직터널 그집,돼지양념볶음,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1447,사직터널 그집,매콤육회무침(한정수량판매),독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1448,사직터널 그집,그집어묵탕,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1449,사직터널 그집,갑오징어 숙회,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1450,사직터널 그집,치즈불까볶이,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1451,사직터널 그집,트러플짜볶이,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1452,사직터널 그집,시장녹두빈대떡,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1453,사직터널 그집,브리치즈구이,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1454,사직터널 그집,음식물반입 처리금,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1455,사직터널 그집,가게에 맥주 소주 없음,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1456,사직터널 그집,주류 반입,독립문역3번 출구에서638m,영업 중23:00에 영업 종료23시 0분에 영업 종료,"단체 이용 가능, 예약",-예약은 네이버 예약으로만 받습니다 -주차공간이 없습니다 *월~금 PM 17:00~23:00 *토~일 PM 16:00~23:00 *공휴일 휴식여부는 인스타로 공지 사직터널위에 위치한 뷰맛집 전통주점입니다 오셔서 다양한 전통주를 즐겨보세요 분위기 깡패! 친구 혹은 연인과 조용히 시간을 보낼 수 있는 가게입니다!
1457,나일(NYIL),Rosetta,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1458,나일(NYIL),Damietta,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1459,나일(NYIL),Cheonggye (Limited),경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1460,나일(NYIL),Mer The Spritz Tower,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1461,나일(NYIL),Sobek Taco,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1462,나일(NYIL),Adige Spritz,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1463,나일(NYIL),Piave Spritz,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1464,나일(NYIL),Mi?o - Parga,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1465,나일(NYIL),Mi?o - Ladra,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1466,나일(NYIL),Mi?o - Tamoga,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1467,나일(NYIL),Khepri Carbonara,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1468,나일(NYIL),Ra Pasta,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1469,나일(NYIL),Han,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1470,나일(NYIL),Mississippi,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1471,나일(NYIL),Atum Musaka,경복궁역1번 출구에서216m,영업 중01:45에 라스트오더1시 45분에 라스트오더,"예약, 무선 인터넷, 반려동물 동반","서촌과 경복궁을 방문한 전세계인들에게 특별하고 예술적인 경험을 제공하는 모던 칵테일 바입니다. We are a destination for cocktail enthusiasts from around the globe, offering a constantly evolving signature menu and art that uniquely blend classic techniques with Korean traditional culture to creat a unique experience."
1472,ERROR,마초,,,,
1473,ERROR,반가,,,,
1474,능라밥상,평양불고기(4인분),독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1475,능라밥상,100% 메밀 평양냉면,독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1476,능라밥상,평양온반,독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1477,능라밥상,해주비빔밥,독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1478,능라밥상,평양녹두지짐(5개),독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1479,능라밥상,초계냉면,독립문역3번 출구에서554m,영업 중20:30에 라스트오더20시 30분에 라스트오더,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",주차는 교남동 공영주차장을 이용하시면 됩니다. 하지만 주차 가능 대수 제한이 있어 어려울 수 있는 점 양해 부탁드립니다.
1480,삼정하누 광화문점,샤토브리앙 (150g),경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1481,삼정하누 광화문점,꽃등심 (300g),경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1482,삼정하누 광화문점,안심추리 150g,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1483,삼정하누 광화문점,채끝 (150g),경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1484,삼정하누 광화문점,안창살 200g,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1485,삼정하누 광화문점,등심 200g,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1486,삼정하누 광화문점,양념등심,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1487,삼정하누 광화문점,살치살 200g,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1488,삼정하누 광화문점,토시살 200g,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1489,삼정하누 광화문점,갈비탕,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1490,삼정하누 광화문점,양곱탕,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
1491,삼정하누 광화문점,한우육회비빔밥,경복궁역7번 출구에서276m,영업 중21:00에 라스트오더21시 0분에 라스트오더,"단체 이용 가능, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","한우 전문 경매사가 고르고 숙성 전문가 설로인(Sirl.Loin)이 운영하는 수요미식회 맛집 삼정하누가 광화문점을 오픈하였습니다. 시그니쳐 부위는 150g단위로만 주문 가능합니다(단, 꽃등심의 경우 새우살의 최적 비율과 두께로 정육되어있어 300g 단위로 주문 하시는걸 추천) 이외 일반 부위는 200g단위로만 주문가능합니다.."
