id,메뉴,아이디,text,양,배달
8,하씨주가,홍미식가,"밸런스 좋고 산뜻한 중식 포차라니...?? 중식 러버는 웁니다. 안주 하나하나 정갈하고 맛있었어요! 맛이 조화롭고 너무 기름지지 않아서 정말 끊임없이 들어가겠더라고요! 쯔란꽈리목살은 목살에 쯔란 찍어먹는 맛이겠지, 했는데 전혀 노노노! 쯔란과 함께 매콤하게 볶아서 더 맛있더라고요. 크리스피 새우볶음은 두말할 것 없죠. 튀기지 않아 고소하기만 한 새우에 바삭한 마늘, 빵가루볶음을 찍어먹는다...? 이렇게 산뜻한 튀김이 있을 수가... 정말 놀라고 갑니다?? 폴딩창문 옆에서 산들산들 바람 맞으면서 술마시니 절로 행복해져요. *본 업체에서 식사권 일부를 제공받아 솔직하게 작성된 글입니다.",5.30.화,1
9,하씨주가,여닝요닝,평소에 접해 보지못했던 중식퓨전음식들을 맛있게 먹을수 있어서 좋았고 특히 마파두부파스타는 마라를 베이스로 하여 입에 촥촥감기고 술안주하기에 안성맞춤이었습니다 재방문 10000%입니다????,8.8.화,1
10,하씨주가,냥콩이잉,"옌수찌는 순살치킨느낌인데 소스랑 잘 어울렸어요. 차오미엔은 마라가 들어갔는지 마라향이 느껴져서 매콤한 느낌이 있습니다. 인테리어도 대만st로 해놓으셔서 분위기가 좋았습니다. 사장님도 친절하시고, 가게 전면이 통창이라 시원해서 술이 술술 들어가더라구용 다음에는 하씨중화술국 먹어보려고 합니당 !! 조용하고 분위기 좋은 혜화술집 찾으시면 추천합니다~!",5.24.수,1
11,하씨주가,현2650,너무 친절하고 분위기 모던해서 넘 좋구요. 특별한 메뉴들이 있어서 하나하나 새로운 음식 먹어보는 저에겐 너무 좋았습니다. 아직도 저 새우맛이 생각나요... 머리통째로 먹는데 거부감없이 너무 맛있어서ㅎㅎㅎ 진짜 또가서 다른 메뉴 먹어보고싶어용,4.26.수,1
12,하씨주가,Awesome111,하씨중화술국 너무 맛있어요~! 마라 전골 맛인데 고기가 차돌이라 더 맛있어요!! 또 라즈찌 한국의 치킨과는 색다른 맛이라 더 좋아요 음식들 다 맛있어서 바닥까지 긁어 먹은 느낌..ㅎ 분위기 좋아서 술 마시기도 좋고 무엇보다 안주가 기똥찹니다~ 여긴 진짜 맛집이에요,4.15.토,1
13,하씨주가,별명없는지나,혜화동 술집 하씨주가에서 옌수찌랑 중화술국 먹고 왔습니다~~ 하씨주가는 대만 느낌 가득한 곳이였구요 중화술국이랑 옌수찌가 베스트여서 하나씩 시켰는데 국물음식이랑 튀김 하나 시키니깐 둘이서 딱 좋네요???? 사장님도 친절하시고 분위기도 좋아서 데이트하기 좋은 술집인 것 같습니다!! 추천합니다!!????,5.10.수,1
14,하씨주가,맛집만뿌셔뿌셔,안주가 너무 맛있는 혜화역 술집이에요!! 옌수찌는 닭튀김인데 완전 바삭하고 간도 되어있어서 짭쪼름해서 진짜 맛있어요!! 대만 야식 인기 메뉴라는데 대만 여행 온 느낌이에요 ㅎㅎ 차오미엔은 마라향 나는 중화볶음면인데 마라맛이 넘 좋아요!! 볶음밥도 푸짐하고 메뉴가 하나하나 다 너무 맛있네요. 혜화역에 이런 보석 같은 곳이 있다니>_<,4.21.금,1
15,하씨주가,여니프릴,분위기도 좋고 안주도 맛있어요?? 주방도 깔끔하게 관리하시는 것 같아서 너무 좋았어요?? 크리스피새우볶음 진짜 맛있었어요 강추입니다,7.5.수,1
16,하씨주가,여리,"퇴근 후, 혜화동술집에 술한잔하러 다녀왔어요~ 옌수찌, 쯔란꽈리목살 주문했는데 양도 푸짐하니 넘 맛있더라구요?? 보라보라한 비주얼이 예뻤던 빼갈퍼플모히또는 목넘김이 부드럽고 깔끔해서 가볍게 마시기 좋았답니다. 혜화역이랑 가까운데다가 특색있고 맛있는 대만요리들을 맛볼 수 있어 주기적으로 찾아가고 싶은 곳이었어요??",4.13.목,1
17,하씨주가,까탈이공쥬,혜화역 대학로에서 즐기는 대만여행이라니???? 대만 여행 가서 맛볼 수 있는 술안주와 술들을 여기에서 다 맛볼 수 있어요???? 닭튀김은 튀김의 맛이나 두께가 한국에서 볼 수 없는 치킨이어서 역시 대만식 술집에서만 맛볼 수 있는 메뉴인 것 같았어요???? 짭쪼롬 하니 맛있어서 자꾸 손이간답니다???? 같이 나온 레몬 뿌려 드시고 소스에 찍어드시면 환상의 술안주에요???? 연근튀김은 담백한 맛이지만 튀김이어서 너무 바삭하고 고소했어요???? 연근에 약간 시즈닝이 올라와있고 가지도 같이 튀겨주시더라구요???? 같이 나온 간장에 찍어드시면 하 정말 따봉맛???? 사장님도 화끈하시고 넘넘 에너지넘치시고 생기넘치셔서 저도 매번 갈때마다 기운받고 오네요????,3.10.금,1
18,하씨주가,som****,"대만요리 궁금했는데, 넘나 내서타일 ?? 하씨중화술국은 마라탕같은 맛이었어요! 한국화된 마라탕이여서 덜 자극적이고 혀가 살짝만 얼얼얼한 정도? 2차로 방문한거라 배불렀는데도 재료 다 건져먹었어요 ㅋㅋㅋ ???? 가지연근튀김도 막 튀겨진거라 바삭하니 술안주로 제격 ?? 하몽빼갈하이볼 궁금해서 시켜봤는데, 고량주에 자몽즙을 탄 맛이여서 처음에는 윽 넘 쎈대 싶다가도 은근 중독되는 맛있어서 홀짝홀짝 마셨네요 ㅋㅋㅋ 사장님, 직원분들도 너무 친절하시고 조용한 이자카야 분위기라 분위기 내러 방문해도 좋을거 같아요! ??",4.8.토,1
19,하씨주가,Jdorothy,신박한 아시아 음식이 먹고싶다면 여기!!,7.1.토,1
20,하씨주가,키득키득14,술이 술술 들어가는 맛에 안주들이에요 국물도 맛나고 분위기도 좋아요 사장님도 친절하시고 다른메뉴도 먹으러가봐야겠어용 ㅎㅎ,4.21.금,1
21,하씨주가,kkw2kky,"대만식 닭튀김, 하씨주가 스타일로 조리했다는 차우면, 우롱차 빼갈하이볼까지 흔치 않은 메뉴들이 있는 중식주점이었어요. 색다르지만 입맛에 잘 맞았네요. 혜화역 1번출구 근처라 위치 좋고 새로 생겼는지 깔끔해요. 사장님도 친절하시고~",3.9.목,1
22,하씨주가,싱아34,주문한 모든 메뉴에 너무 만족했던 혜화역술집이예요~~^^ 사장님도 넘 친절하시고 음식 맛도 좋아 즐겁게 머물다 왔습니당~~)),4.19.수,1
23,하씨주가,jiy****,음식도 다 너무 맛있고 양도 많고 사장님도 너무너무 친절하세요 !! 안주들이 술이 정말 술술 넘어가는 안주들이예요..?? 가게 내부도 정말 깔끔하고 지하철 출구랑도 가까워서 위치도 좋아요! 다음에 또 올거에요 ??????,3.31.금,1
24,하씨주가,세하나야,중화술국 꼭 드세요. 마라탕도 아닌 것이 술국도 아닌 것이 색다르고 맛납니다. 중화볶음밥은 약간 마라맛이 나는 볶음밥인데 맥주를 계속 부릅니다!!!,3.31.금,1
25,하씨주가,강낭콩03,대만식 닭튀김 옌수찌와 차오미엔 조화가 너무 좋네요:) 사장님도 친절하시고 혜화역 맛집으로 추천합니다 자몽 하이볼도 너무 맛있었습니다 강력 추천드려요! 다른 음식들도 먹어보고 싶었지만 배가 불러 못먹어본게 아쉽네요 다음에 근처에 갈일 있으면 재방문의사 있습니다!,3.20.월,1
26,하씨주가,엔프피지뚜루,분위기 너무 좋고 사장님 정말 친절하세요!!! 최근에 갔던 혜화술집 중 제일 만족해요 음식도 다 너무 맛있고..????다음에 또 갈거예요,3.15.수,1
27,하씨주가,MrHyun,공연보고 들렀는데 매장도 청결하고 안주도 너무 맛있네요 중화포차 여행갔을때 느꼈던 기분을 느끼고. 왔습니다!,4.12.수,1
28,하씨주가,새우별장의 탐구생활,술국 진짜 얼큰매콤 맛있었어요 !! 창가 자리에서 맥주에 하이볼에 겉바속촉의 진수 가지튀김 먹고 있으니까 대만에 온듯한 느낌까지 ???? 너무 좋았어요,3.11.토,1
29,하씨주가,쨩이09,너무 맛있게 잘 먹었습니다~~~ 다들 두번 세번 네번 가세요????,5.31.수,1
30,하씨주가,NuS,우선 들어가자마자 탁 트인뷰라서 되게 좋았어요! ?? 매장이 되게 깔끔하고 사장님도 엄청 친절하세요!! 메뉴도 추천받아서 술국하고 대패목살 시켰는데 진짜 너무 맛있었어요..?? 다음에 오면 다른 안주들도 시켜서 먹어봐야겠어요 ??,4.1.토,1
31,하씨주가,노이노,술국이 미쳤는데 차오미엔이 더미침 꼭 먹어주세요 똠양꿍이랑 마라맛이 다나요 ㅎㅎㅎㅎ 신기,5.23.화,1
32,하씨주가,soM,인테리어 맛집. 사장님 진짜진짜 너무 친절함!!! 현지풍맛이 좋음.,4.12.수,1
33,하씨주가,쥬리쥬디,초여름밤 후덥지근한 바람과 시원한 하이볼의 조합 ??,5.19.금,1
34,하씨주가,매빈95,마라탕 좋아하는 분들은 무조건 좋아할 술국! 완전 맛있게 싹싹 다 먹고 왔숩니다,3.13.월,1
35,하씨주가,조가영39,메뉴가 다양하고 다 너무 맛있어요!! 그리고 사장님이랑 직원분들이 바빠도 너무 친절하셔서 기분이 좋아지는 시간이였습니다????,3.4.토,1
36,하씨주가,날래2,사장님 혼자하는곳이라 메뉴가 나오는데 시간이좀걸리지만 조금늦었다고 서비스도 주시고 메뉴도 다 맛있었어요!!!,6.15.목,1
37,하씨주가,이예진5424,오늘 먹고 왔는데 또 먹고싶네요ㅠㅠ 사장님도 친절하시고 음식도 넘 맛있고 하이볼도 넘 달달하니 좋았어요!!! 혜화역 근처에 이런 분위기에 이리 맛있는 음식이 있는지 첨 알았네용 ~~!!,4.11.화,1
38,하씨주가,Jessica0,하씨중화술국 메뉴 짱짱?? 짜지도 않고 맛있어요 술국이란 말 그대로 술이 술술 들어가구 맛있어서 싹 먹었네요 ㅋㅌㅋ 연태토닉 좋아하는데 같이 맛있게 잘 먹고 가네용~~~!????담에 또 올게요,3.4.토,1
39,하씨주가,나2078,하씨중화술국 그저 대박이란 말 밖엔 할 말이 없어요.... 30대가 되고나서 소주를 원샷한 적이 없는데 이 날은 한번도 안 꺾고 원샷원샷! 자꾸 생각나는 맛이에요!,3.20.월,1
40,하씨주가,운소니,술국은 기존 마라탕보다 훨씬 맛있어서 술술 들어가네요! 옌수찌라는 닭튀김은 꼭 드세요??볶음밥은 술국 주문하면 천 원 할인되고 마무리로 마리떡볶이까지????대학로 신상 맛집으로 강추합니당????,22.9.20.화,1
41,하씨주가,내일개어라,음식 다맛있고 친절하게 응대해주셨어요 일행이랑 가도 좋고 혼자 가도 부담없을거 같아요 이곳만의 중화요리와 술을 접할 수 있는 곳입니다,22.10.28.금,1
42,하씨주가,내일개어라,맛있게 잘 먹고 갑니다?(´▽`)/,22.11.14.월,2
43,하씨주가,Isaac66,진짜 맛있어요,3.20.월,1
44,하씨주가,lhamouse39,"와아아아ㅏ아 진짜 말도 안되게 맛있어요.....!!!!!! 혼자만 먹고 싶어서 참고 참고 참고 참다가ㅠㅠ 세상 너무 맛있게 먹어서 영수증 리뷰 난생 처음 남깁니다...?? 음식들 다 너무 색다르고 분위기 너무 좋아서 맨날 가고 싶은 술집입니다. 사장님도 너무 친절하시고 일단 안주가 미쳤어요....하이볼도 장난없네요.. 술국은 무조건 드시고, 안주 아무거나 먹어도 다 맛있어요. 대표 메뉴만 먹으려다가 너무 맛있어서 다 시켜버렸어요...후회없어요!!!!같이 간 친구들도 난리났답니다?? 그냥 여기 맨날 가야겠어요.....??????? 다들 가지마세요 저만 가게.",22.8.25.목,1
45,하씨주가,aaiikoo,회사에서 단체로 다녀왔습니다~ 다양하고 특별한 요리들에 중국술을 즐길 수 있어서 좋았어요. 그리고 너무 친절하십니다??,22.12.20.화,1
46,하씨주가,zhangzhuu,하씨중화술국 먹으려다가 전날 술을 많이 마셔서 맑은 탕이 먹고싶어 홍합백짬뽕탕으로 시켰어요ㅎㅎ 홍합이 실하고 완전 한가득이었어요!! 국물도 완전 시원ㅠㅠ 먹다가 이곳 술 냉장고를 봤는데 고량주 종류가 엄청 많더라고요!! 결국 그중 젤 예뻐보이는 아이로 픽ㅋㅋㅋ 술 왜 못끊죠...? 근데 둘이서 마시기 무서워서 근처에 사는 친구 불러 옌수찌?? 대만식 치킨이랑 고수 올라간 전까지 배터지게 먹었어욬ㅋㅋㅋ 원래 고수 잘 못먹는데 전이랑 같이 싸먹으니까 진짜 맛있었어요!!! 잘 먹었습니다!!! 꼭 또 올게요 사장님!!!,22.8.16.화,1
47,하씨주가,하루종일88,요리들이 안주로 딱입니다. 너무 맛있어용???? 인테리어도 느낌있고 사장님도 너무 친절해용????,22.9.13.화,1
48,하씨주가,오달23,난 개꿀맛였당.ㅎ,22.12.9.금,1
49,하씨주가,hoh****,날씨가 점점 쌀쌀해지는 데 여기서 빼갈하이볼이랑 뜨끈한 술국 먹으니까 온 몸이 따뜻해지고 너무 좋네요. 사장님 너무 친절하고 가게도 청결하고 특히! 음식이 너무 맛있어요!! 하씨주가 재방문 의사 무조건 있습니다! 꼭 가보세요!,22.11.3.목,1
50,하씨주가,여긴어디임,"먹어본 메뉴 다 맛있었구요, 그중에서 중화술국이 괜찮았어요. 특히 실당면은 필수로 추가해먹어야 맛있습니다. 매장도 깔끔하고 이색적이에요.",22.9.9.금,1
51,하씨주가,빵보99,술마실곳 고를때도 안주가 맛있는 곳으로 찾아다니는 사람입니다. 처음 방문이었는데 단골 예약걸고 왔네요. 모든 안주가 다 맛있습니다. 특히 술국 꼭 드세요. 마라에 지치고 질린 혀를 달래줄 명요리입니다... 익숙한듯 하면서도 새로운... 매력적인 요리입니다... 술 안먹고 밥만 먹으러와도 좋을 것 같습니다. 사장님도 친절하고 가게도 예뻐서 술먹을 맛 더 났습니다. 다음에는 남자친구 데려올거에요.,22.8.16.화,1
52,하씨주가,이소정1330,술국이랑 닭튀김이 특별히 맛있었어요!!!! 술국은 국물 무한리필하면서 술 마시고 싶을 정도!!!!!!!!! 다음에 백짬뽕이랑 전도 먹어보고 싶어용!!!!!!!!,22.8.17.수,1
53,하씨주가,hyons,너무 맛있어요...매장도 깨끗하고 친절하시고!! 친구들한테도 추천했으니 자주 가겠습니당!,22.10.21.금,1
54,하씨주가,키엘9622,지구에서 제일 맛있는 술집... 모르고 살았던 지난 날이 원통합니다ㅜ 하몽빼갈하이볼 꼭 먹어보세요,22.9.17.토,1
55,하씨주가,쁘니7033,사장님 저스디스 닮음 ! 너무 친절하고 저는 술은 못마셔서 안주 맛있는곳을 찾아다니는데 안주 너무 맛있어요! 옌수찌 사진을 못찍었지만 먹어야함 꼭 그리고 마라떡볶이 도 꼭 먹어야함,22.8.14.일,1
56,하씨주가,춘94,"여자친구랑 처음 와봐서 질문이 되게 많았는데 사장님께서 바쁘신대도 친철하게 메뉴에 대해 설명해 주시고, 추천해드린대로 먹고 술도 마셨는데 저도, 여자친구도 너무 만족하고 갑니다! 앞으로도 혜화에서 데이트 하고 자주 올 것 같습니다. 혜화 근처여도 올 것 같아요 ㅋㅋㅋ 사장님 감사합니다~~",22.8.31.수,1
57,하씨주가,ghj****,리뷰가 없어서 고민했는데 사장님 너무 친절하시고 안주들 다 핵맛있ㅇㅓ요!!!! 술국먹으면 술 무한으로 들어갈듯……?? 돈쭐나세용,22.8.14.일,2
58,하씨주가,테디맘95,치맥하러 왔어요^^ 대만식 치킨이랑 중국 하얼빈 맥주랑 먹으니 여태 먹은 치맥과 또 다른 느낌이네요~ 가게에 아기자기한 소품들도 중국 느낌 나고 좋아요~^^,22.8.19.금,1
59,하씨주가,lune93,,22.11.12.토,1
60,하씨주가,하하43,와 세상에 진짜 개맛있는데 왜 다들 모르져..? 어제 치킨먹고도 옌수찌는 또먹었어요 ㅋㅋㅋㅋㅋ 술국도 너무 맛있어요!!!,22.11.3.목,1
61,하씨주가,양준민71,지나가다 분위기 좋아보여 왔는데 안주도 너무 맛있고 친절해서 좋았어요. 고량주는 잘 접하지 못했는데 안주들과 궁합이 좋아서 너무 맛있게 먹었습니다!!,22.8.31.수,1
62,하씨주가,aguccim,안주좋고 술좋고 분위기좋고 사장님마저 친절하니 찾지않을 이유가 없어유,22.10.27.목,1
63,하씨주가,굿487,너무 맛있어요!,22.11.3.목,1
64,하씨주가,day****,처음 왔는데 너무 맛있었어요! 주방도 깨끗하고 음식들이 술을 부르는 맛이었습니다. 대표메뉴인 술국은 마라를 좋아하시는 분들을 위해 단계가 있음 더 좋을 것 같아요! 곁들일 소스도 있음 좋을것 같기도 하지만 저희입맛엔 냐미냐미!?? 대만식 닭튀김 진짜맛있어용 추천해요!!,22.8.31.수,1
65,하씨주가,고양이3441,"동네에 새로생겼길래 한번 와봤다가 술국 먹고 반해서 생파하고 왔어요??! 새로생겨서 단체도 가능한지 조심스럽게 여쭤봤는데 사장님께서 너무 좋아하셔서 오히려 다행이었다능,,, 술국 너무 맛있어서 술 태어나서 저렇게 처음 까봐요 저희 많이 시끄러웠는데 친절하게 대해주샤서 감사합니다 또 갈게요!",22.8.12.금,1
66,하씨주가,기리보이20,지나가다 맛있어 보여서 들렀는데 분위기도 좋고 안주 너무 맛있었습니다 또 가고 싶은 집이네요,22.9.8.목,1
67,하씨주가,소고기시25,"아..우선 사진을 안 찍는 편인지라 사진이 없는게 아숩! 본인 처음 보는 메뉴들 많아서 매우 신선했고, 독특하고 맛있어서 좀 만족스러운 편임. 본인은 이것 저것 다 먹어 봤는데 옌수찌랑 그린빈대패목살이 가장 맛이 좋았음 본인 그린빈 좋아하는편. 약간 중국 스러운 맛 굳굳~ 그리고 나중에는 좀 허해서 만두랑 볶음밥 시켰는데 볶음밥 씹는 맛이 좀 떨어지긴 했는데, 그래도 둘이 같이 먹으니까 맛있어서 사실 혼자 다 비웠음..ㅎ;; 조합 낫베도 ㄹㅇ임. 음 아쉬웠던 음식을 꼽자면 건두부냉채? 뭔가 본인 취향은 아니어서 그런지 식초 같은 녀석 살짝 가미해주면 더 맛있지 않았을까..ㅎ 암튼 게가 자체도 분위기 좋고 작고 소규모로 와서 간단하게 적시기 딱 좋았음 ㅇㅇ.",22.8.30.화,2
68,하씨주가,ldc****,ㅠㅠ 너무 맛있어요 마라맛 이렇게 잘내는곳 처음 이었어요 ㅠㅠ,22.9.23.금,1
69,하씨주가,kreios2652,오랜만에 친구들과 혜화 나들이 왔는데 새로운 술집이 생겨서 한번 와봤어요!! 원래 중식을 좋아하는데 여기 음식들은 완전 신세계!였습니다. 완전 중식같은 메뉴도 있고 퓨전음식도 있어서 호불호 없이 맛있게 드실수 있을거 같아요 단골예약걸고옴 ㅋㅋ 사장님도 친절하시고 음식도 맛있고 혜화에 찐으로 좋은 술집하나 생겼네요ㅋㅋ 강추합니당! 혜화 오시면 꼭 한번 들러보세요. 나중에 오면 줄서야될수도..,22.8.23.화,1
70,하씨주가,오상우,"안주도 맛있고, 술도 맛있어요! 다음에는 대만식 닭튀김도 먹어보고 싶어요~~~!! 하롱하이볼 강력 추천! 사장님도 친절하십니다 ㅎㅎㅎ",22.8.23.화,1
71,하씨주가,디셰,마라탕을 원래 좋아하는데 여기 마라떡볶이가 얼얼한 맛이 딱이에요!! 술 안주로도 딱ㅋㅋ 마라탕 좋아하는 분들 꼭 드셔보세요~~,22.8.12.금,1
72,하씨주가,qaz1122qaz,혜화역 처음 왔는데 진짜 너무 맛있게 먹고가요ㅜㅜㅜ다음에 친구들 다 데리고 올게요!! 그리고 사장님도 너무 재밌어욬 같이 술먹어요~,22.8.30.화,1
73,하씨주가,you****,맛있어요!,22.9.29.목,1
1,짬뽕타임24(종로3가점),영수증을받아라,"갑자기 매운냉면 ,돈까스 생각나 검색후 방문했습니다. 짬뽕만 파는곳인줄 알았는데 메뉴가 이것저것 의외로 많았습니다. 매운냉면 제일매운맛 코쨈.눈쨈 흘려가며 먹었습니다. 매운냉면 생각날때. 술마실때도 괜찮은곳 같았습니다.",8.23.수,1
2,짬뽕타임24(종로3가점),약손아저씨,간판은 많이 봤는데 처음 들어가 봤네요 젊은 맛의 땀뽕이네요,9.5.화,1
3,짬뽕타임24(종로3가점),H2FA,짬뽕 국물이 찐하고 맛있어요.만두는 바삭하고 탕수육은 찹쌀인지 쪽득해서 좋아요.,4.4.화,1
4,짬뽕타임24(종로3가점),또루81,별로예요.,8.5.토,1
5,짬뽕타임24(종로3가점),launy,굿,8.23.수,15
6,짬뽕타임24(종로3가점),lim****,맛있어요,9.4.월,1
7,짬뽕타임24(종로3가점),yj2749,맛있어요 ~,9.3.일,1
8,짬뽕타임24(종로3가점),볼벼리,맛있어요 둘이 배불러요,3.29.수,1
9,짬뽕타임24(종로3가점),송수댕수댕,불냉면 먹으러 갔다가 짬뽕에 홀려서 먹었는데 짱맛.. 매운맛 요청할 수 있어서 좋았어요:)) 해장이 너무 잘됐어요ㅠㅠ??,4.8.토,1
10,짬뽕타임24(종로3가점),bea****,굿,8.15.화,1
11,짬뽕타임24(종로3가점),launy,굿,8.8.화,14
12,짬뽕타임24(종로3가점),flowereh,맛있어요~~^^,6.6.화,2
13,짬뽕타임24(종로3가점),다다8082,,5.5.금,1
14,짬뽕타임24(종로3가점),flowereh,재방문 예정입니다~~완전 맛있어요~~~,2.5.일,1
15,짬뽕타임24(종로3가점),asac아삭,인사동 나갔다가 짬뽕 먹었는데 푸짐하고 맛있어요,6.5.월,1
16,짬뽕타임24(종로3가점),launy,탕수육 고기가 질겨요ㅜ,4.25.화,13
17,짬뽕타임24(종로3가점),LEE7478,좋아요,9.3.일,1
18,짬뽕타임24(종로3가점),미노즈,직원분 짱 친절하시고 탕슉 맛집,3.19.일,1
19,짬뽕타임24(종로3가점),Ah11,굿,5.28.일,1
20,짬뽕타임24(종로3가점),par****,좋아요,3.29.수,1
21,짬뽕타임24(종로3가점),chelizi,좋아요,5.14.일,1
22,짬뽕타임24(종로3가점),타리53,탕수육 맛있어요,4.8.토,1
23,짬뽕타임24(종로3가점),은갱이29,탕수육과 짬뽕 강추,2.3.금,1
24,짬뽕타임24(종로3가점),nic****,친절하고 가격이 적당해요,4.30.일,2
25,짬뽕타임24(종로3가점),apd****,차돌짬뽕먹었는데 차돌이랑 짬뽕이랑 맛이 따로 놀고 짬뽕 국물도 별로 맛 없음 인스턴트 짬뽕국물 먹는거같았어요. 유일한 장점은 직원이 친절하신거 +단무지 연한닼무지라 짠맛이강하지않음,22.12.25.일,1
26,짬뽕타임24(종로3가점),남스타인,싸고 친절하고 맛있는곳,8.10.목,12
27,짬뽕타임24(종로3가점),lany43,굿,4.11.화,4
28,짬뽕타임24(종로3가점),launy,굿,4.5.수,12
29,짬뽕타임24(종로3가점),launy,굿,3.31.금,11
30,짬뽕타임24(종로3가점),보라3259,굿,3.25.토,1
31,짬뽕타임24(종로3가점),lany43,굿양많고 맛있엉?ㄷ,1.25.수,3
32,짬뽕타임24(종로3가점),2d****,가성비가 좋아요. 다음에는 묶음 메뉴가 더 가성비가 좋을듯 싶어 주문할 예정,22.11.8.화,1
33,짬뽕타임24(종로3가점),궁잉,여기 탕수육이 미쳤어요. 사장님고 너무 친절하시고 짜장면도 너무너무 맛있어요 사진 보이시나요 맛있어서 먹다가 찍었습니다 근처에서 가벼운 마음으로 맛있는 식사로 추천해요,22.7.27.수,1
34,짬뽕타임24(종로3가점),launy,굿,3.21.화,10
35,짬뽕타임24(종로3가점),HaSsun,우와여기탕수육맛집!! 세트메뉴저렴하게잘먹구갑니다 짬뽕국물도찐이에요 담에차돌짬뽕먹으러와야겠어요,22.8.13.토,1
36,짬뽕타임24(종로3가점),jan****,맛있어요,3.17.금,1
37,짬뽕타임24(종로3가점),Lee986,"친절하세요, 음식도 맛있어요~",22.10.17.월,1
38,짬뽕타임24(종로3가점),launy,굿,3.9.목,9
39,짬뽕타임24(종로3가점),launy,굿,3.3.금,8
40,짬뽕타임24(종로3가점),di****,맛있어요,3.2.목,1
41,짬뽕타임24(종로3가점),해피3779,처음 가서 1인 탕수육을 먹었는데 진짜로 맛있어요...처음엔 양이 너무 적어보였는데 먹다보니 통통해서 알맞게 먹었어요! 일단 넘 맛나서 탕수육 먹으러 또 갈것같아요!! 그리고 옆테이블에 할아버지께서 자장면 시키시고 한입 드셨는데 이가 안좋으셔보였는데 면이 너무 씹기 딱딱하다고 그랬더니 듣고 바로 새로 해드린다고 바꿔드리고 면 푹 삶아서 해드린게 너무 감동이였습니다.. 이런마음으로 장사하시는거 정말 보기 드문데 앞으로 잘되면 좋겠어요!,22.10.23.일,1
42,짬뽕타임24(종로3가점),HaSsun,기본돈까스 양많고 짬뽕국물주셔서좋네욤,22.9.26.월,2
43,짬뽕타임24(종로3가점),dla****,굿,1.18.수,2
44,짬뽕타임24(종로3가점),launy,굿,2.20.월,7
45,짬뽕타임24(종로3가점),launy,굿,2.8.수,6
46,짬뽕타임24(종로3가점),launy,점심시간에 사람너무 많아서 사장님들 너무바빠보이심. 먹는데 주방쪽 물이 흥건. .물튈까봐 조마조마 여긴 친절하긴한데 위생이 안좋은듯ㅠ,22.10.27.목,5
47,짬뽕타임24(종로3가점),소미61,음식이 짱 맛있어요,3.3.금,3
48,짬뽕타임24(종로3가점),산에 사는 어부,골목에 숨어있는 집 추가 메뉴를 찾게 만드네요,22.10.1.토,1
49,짬뽕타임24(종로3가점),launy,사장님친절. 점심시간 매우 바빠보이심. 그래서 그런지 볶음밥에 당근이 안익음~ 잘볶아서 주세용!,22.10.7.금,4
50,짬뽕타임24(종로3가점),nguyenngoctu,맛있고 좋아요,22.11.13.일,1
51,짬뽕타임24(종로3가점),dla****,굿,22.11.29.화,1
52,짬뽕타임24(종로3가점),썬경,장소찾기가복잡해요,22.10.31.월,1
53,짬뽕타임24(종로3가점),loo****,맛있고 친절해요,22.11.2.수,1
54,짬뽕타임24(종로3가점),나는잘될겨0,가성비 맛나요,22.9.27.화,1
55,짬뽕타임24(종로3가점),naneru,굿,22.11.7.월,1
56,짬뽕타임24(종로3가점),이나리93,ㆍ,22.11.18.금,1
57,짬뽕타임24(종로3가점),뿌우웅,좋아요,22.11.21.월,2
58,짬뽕타임24(종로3가점),애니타임0,저번에 먹을때 안얼큰해서 얼큰하게해달라고했는데안얼큰해요 고춧가루2번넣었는데도..시원한국물좋아하시는분은 좋아하실듯 안매움,22.11.7.월,2
59,짬뽕타임24(종로3가점),lany43,굿,22.11.14.월,2
60,짬뽕타임24(종로3가점),꼼미83,굿,22.11.7.월,1
61,짬뽕타임24(종로3가점),nykim0143,굿,22.11.7.월,1
62,짬뽕타임24(종로3가점),민들레0214,맛있어요,22.9.25.일,1
63,짬뽕타임24(종로3가점),zero00000,좋아요,22.10.14.금,1
64,짬뽕타임24(종로3가점),뿌우웅,좋아요,22.10.16.일,1
65,짬뽕타임24(종로3가점),soft91,짬뽕이랑 탕수육만 드세요~,22.5.21.토,1
66,짬뽕타임24(종로3가점),chl****,맛있어요,22.10.4.화,1
67,짬뽕타임24(종로3가점),lany43,굿,22.9.26.월,1
68,짬뽕타임24(종로3가점),보헤미안0,좋아요,22.9.21.수,1
69,짬뽕타임24(종로3가점),launy,제입맛에는 짬뽕 잘 맞아여 맵찔이임ㅋ 야채많아서 좋음,22.6.29.수,1
70,짬뽕타임24(종로3가점),텐사이88,짜장 콤보 만두는 소스 옆에 2개 나옴 반찬 리필은 셀프,22.4.15.금,1
71,짬뽕타임24(종로3가점),wow****,맛있어용!,22.9.3.토,1
72,짬뽕타임24(종로3가점),THaley,냉면집이랑 같이 있어요!,22.5.29.일,1
73,짬뽕타임24(종로3가점),86****,가성비가 좋아요,22.5.15.일,1
74,짬뽕타임24(종로3가점),launy,굿,22.7.19.화,3
75,짬뽕타임24(종로3가점),jungsahun90,굳,22.7.29.금,1
76,짬뽕타임24(종로3가점),금년엔 기필코,탕수육 . 끝장입니다. 강추!!,22.5.1.일,1
77,짬뽕타임24(종로3가점),cats331,3단계 많이 안매워요,22.4.26.화,1
