ㅁㄴ,메뉴,아이디,배당,양,text,text2
227,오마카세 오사이 대학로점,디너,혜화역1번 출구에서251m,영업 중21:30에 영업 종료21시 30분에 영업 종료,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간,네이버 평점 4.8(만점5) 오마카세 오사이초밥 혜화 대학로에 입점. 저희 오사이초밥 대학로점은 경력 10년 이상의 일식 쉐프가 만듭니다 최고 가성비 오마카세 스시야를 추구하고 있어서 다들 만족하시고 가는 혜화 대학로 인기 맛집이라 자부합니다^^ 또 저희 오사이 초밥은 조용하고 아담한 11석 다찌 구조의 오마카세 스시야라 데이트 / 가족모임 / 단체회식 / 기념일 / 혼밥 하기에 좋은 분위기로 맛있게 즐기실 수 있습니다. 1. 오사이초밥 대학로점은 극장가 인근에 위치해 있으며 4호선 혜화역 1번출구 5분거리 인근에 위치해 있습니다. 무료 주차 공간은 따로 없고 저희 매장과 가까운 주차시설은 매장 옆 발렛업체와 건너편 자유극장 주차장이 있습니다^^ 2. 한꺼번에 최대 11인 까지 이용 가능한 공간입니다. 100% 예약제로 운영합니다.(예약 후 현장에서 법인카드 등 결제 방식 변경 가능) 식사는 시간 별로 입장하여 번잡하거나 식사 중 방해 받지 않습니다. 친절한 안내에 따라 오마카세 스시야의 맛을 차례 차례 즐기실 수 있습니다. 자리가 부족하여 원하시는 시간대에 예약이 안되는 경우가 있습니다. 양해 부탁 드립니다. 3. 런치는 19000원 디너는 29000원 으로 진행되고 있으며 디너에는 음료/주류(콜라사이다 제외) 필수 주문으로 진행되고 있습니다. 4. 계절에 따라 변화하는 제철 식재료 다양하게 사용합니다. 베테랑 일식 쉐프의 손맛으로 스시를 빚어 친절한 안내와 함께 제공합니다. 간장을 사용하는 스시인지 그냥 드시면 좋은지^^ 생선은 어떤 종류인지 간략히 설명을 들으며 식사하실 수 있습니다. 5. 한번 오신 손님 대부분은 다시 찾겠다는 리뷰를 달아주시고 계십니다. 정말 감사 드립니다. 부담 없이 오마카세 제대로 즐겼다는 손님들의 한마디 리뷰를 볼 때마다 미소가 지어지며 보람을 느낍니다. <오마카세 뜻> 오마카세는 <주방특선> 요리 형식인 일식 요리의 일종. 흔히 <요리사특선>으로 번역하고 그날의 재료로 요리를 준비한 상차림을 의미. 특별히 일식 초밥(스시)요리에 관련해서 독특한 문화를 지칭할 때 일본어 단어를 그대로 씁니다. 일본에서 유래하였으며 음식이나 요리의 이름보다는 음식을 제공하는 형태임. 일본어의 <맡기다>는 뜻의 任せる(마카세루)에서 명사형인 任せ(마카세)의 앞에 존경형태인 お(오)를 붙여 오마카세로 불림. 맡겼다는 부분에서 추측할 수 있듯이 정해진 메뉴가 아니라 그날그날 재료 등에 따라 스시가게의 주방장의 재량에 맡겨 정해진 요리를 내어주는 것을 의미. 예약 손님을 받아 일정 부분만 제공하는 만큼 속도 및 손님 개개인의 취향 알러지 등을 존중한다. 즉석에서 스시를 내어주며 설명을 해준다. 네타(올라가는 회)나 샤리(밥)등이 중요. (위키백과 수정) <오사이 뜻> 일본어로 오(남자) 사이고노(최종) 아이(사랑)의 줄임말로 <남자의 마지막 사랑> 이라는 뜻 입니다. 김재원 창업자가 평생의 동반자가 되어준 아내에게 감사하며 이름지었습니다.
228,오마카세 오사이 대학로점,우니,혜화역1번 출구에서251m,영업 중21:30에 영업 종료21시 30분에 영업 종료,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간,네이버 평점 4.8(만점5) 오마카세 오사이초밥 혜화 대학로에 입점. 저희 오사이초밥 대학로점은 경력 10년 이상의 일식 쉐프가 만듭니다 최고 가성비 오마카세 스시야를 추구하고 있어서 다들 만족하시고 가는 혜화 대학로 인기 맛집이라 자부합니다^^ 또 저희 오사이 초밥은 조용하고 아담한 11석 다찌 구조의 오마카세 스시야라 데이트 / 가족모임 / 단체회식 / 기념일 / 혼밥 하기에 좋은 분위기로 맛있게 즐기실 수 있습니다. 1. 오사이초밥 대학로점은 극장가 인근에 위치해 있으며 4호선 혜화역 1번출구 5분거리 인근에 위치해 있습니다. 무료 주차 공간은 따로 없고 저희 매장과 가까운 주차시설은 매장 옆 발렛업체와 건너편 자유극장 주차장이 있습니다^^ 2. 한꺼번에 최대 11인 까지 이용 가능한 공간입니다. 100% 예약제로 운영합니다.(예약 후 현장에서 법인카드 등 결제 방식 변경 가능) 식사는 시간 별로 입장하여 번잡하거나 식사 중 방해 받지 않습니다. 친절한 안내에 따라 오마카세 스시야의 맛을 차례 차례 즐기실 수 있습니다. 자리가 부족하여 원하시는 시간대에 예약이 안되는 경우가 있습니다. 양해 부탁 드립니다. 3. 런치는 19000원 디너는 29000원 으로 진행되고 있으며 디너에는 음료/주류(콜라사이다 제외) 필수 주문으로 진행되고 있습니다. 4. 계절에 따라 변화하는 제철 식재료 다양하게 사용합니다. 베테랑 일식 쉐프의 손맛으로 스시를 빚어 친절한 안내와 함께 제공합니다. 간장을 사용하는 스시인지 그냥 드시면 좋은지^^ 생선은 어떤 종류인지 간략히 설명을 들으며 식사하실 수 있습니다. 5. 한번 오신 손님 대부분은 다시 찾겠다는 리뷰를 달아주시고 계십니다. 정말 감사 드립니다. 부담 없이 오마카세 제대로 즐겼다는 손님들의 한마디 리뷰를 볼 때마다 미소가 지어지며 보람을 느낍니다. <오마카세 뜻> 오마카세는 <주방특선> 요리 형식인 일식 요리의 일종. 흔히 <요리사특선>으로 번역하고 그날의 재료로 요리를 준비한 상차림을 의미. 특별히 일식 초밥(스시)요리에 관련해서 독특한 문화를 지칭할 때 일본어 단어를 그대로 씁니다. 일본에서 유래하였으며 음식이나 요리의 이름보다는 음식을 제공하는 형태임. 일본어의 <맡기다>는 뜻의 任せる(마카세루)에서 명사형인 任せ(마카세)의 앞에 존경형태인 お(오)를 붙여 오마카세로 불림. 맡겼다는 부분에서 추측할 수 있듯이 정해진 메뉴가 아니라 그날그날 재료 등에 따라 스시가게의 주방장의 재량에 맡겨 정해진 요리를 내어주는 것을 의미. 예약 손님을 받아 일정 부분만 제공하는 만큼 속도 및 손님 개개인의 취향 알러지 등을 존중한다. 즉석에서 스시를 내어주며 설명을 해준다. 네타(올라가는 회)나 샤리(밥)등이 중요. (위키백과 수정) <오사이 뜻> 일본어로 오(남자) 사이고노(최종) 아이(사랑)의 줄임말로 <남자의 마지막 사랑> 이라는 뜻 입니다. 김재원 창업자가 평생의 동반자가 되어준 아내에게 감사하며 이름지었습니다.
229,오마카세 오사이 대학로점,엔가와,혜화역1번 출구에서251m,영업 중21:30에 영업 종료21시 30분에 영업 종료,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간,네이버 평점 4.8(만점5) 오마카세 오사이초밥 혜화 대학로에 입점. 저희 오사이초밥 대학로점은 경력 10년 이상의 일식 쉐프가 만듭니다 최고 가성비 오마카세 스시야를 추구하고 있어서 다들 만족하시고 가는 혜화 대학로 인기 맛집이라 자부합니다^^ 또 저희 오사이 초밥은 조용하고 아담한 11석 다찌 구조의 오마카세 스시야라 데이트 / 가족모임 / 단체회식 / 기념일 / 혼밥 하기에 좋은 분위기로 맛있게 즐기실 수 있습니다. 1. 오사이초밥 대학로점은 극장가 인근에 위치해 있으며 4호선 혜화역 1번출구 5분거리 인근에 위치해 있습니다. 무료 주차 공간은 따로 없고 저희 매장과 가까운 주차시설은 매장 옆 발렛업체와 건너편 자유극장 주차장이 있습니다^^ 2. 한꺼번에 최대 11인 까지 이용 가능한 공간입니다. 100% 예약제로 운영합니다.(예약 후 현장에서 법인카드 등 결제 방식 변경 가능) 식사는 시간 별로 입장하여 번잡하거나 식사 중 방해 받지 않습니다. 친절한 안내에 따라 오마카세 스시야의 맛을 차례 차례 즐기실 수 있습니다. 자리가 부족하여 원하시는 시간대에 예약이 안되는 경우가 있습니다. 양해 부탁 드립니다. 3. 런치는 19000원 디너는 29000원 으로 진행되고 있으며 디너에는 음료/주류(콜라사이다 제외) 필수 주문으로 진행되고 있습니다. 4. 계절에 따라 변화하는 제철 식재료 다양하게 사용합니다. 베테랑 일식 쉐프의 손맛으로 스시를 빚어 친절한 안내와 함께 제공합니다. 간장을 사용하는 스시인지 그냥 드시면 좋은지^^ 생선은 어떤 종류인지 간략히 설명을 들으며 식사하실 수 있습니다. 5. 한번 오신 손님 대부분은 다시 찾겠다는 리뷰를 달아주시고 계십니다. 정말 감사 드립니다. 부담 없이 오마카세 제대로 즐겼다는 손님들의 한마디 리뷰를 볼 때마다 미소가 지어지며 보람을 느낍니다. <오마카세 뜻> 오마카세는 <주방특선> 요리 형식인 일식 요리의 일종. 흔히 <요리사특선>으로 번역하고 그날의 재료로 요리를 준비한 상차림을 의미. 특별히 일식 초밥(스시)요리에 관련해서 독특한 문화를 지칭할 때 일본어 단어를 그대로 씁니다. 일본에서 유래하였으며 음식이나 요리의 이름보다는 음식을 제공하는 형태임. 일본어의 <맡기다>는 뜻의 任せる(마카세루)에서 명사형인 任せ(마카세)의 앞에 존경형태인 お(오)를 붙여 오마카세로 불림. 맡겼다는 부분에서 추측할 수 있듯이 정해진 메뉴가 아니라 그날그날 재료 등에 따라 스시가게의 주방장의 재량에 맡겨 정해진 요리를 내어주는 것을 의미. 예약 손님을 받아 일정 부분만 제공하는 만큼 속도 및 손님 개개인의 취향 알러지 등을 존중한다. 즉석에서 스시를 내어주며 설명을 해준다. 네타(올라가는 회)나 샤리(밥)등이 중요. (위키백과 수정) <오사이 뜻> 일본어로 오(남자) 사이고노(최종) 아이(사랑)의 줄임말로 <남자의 마지막 사랑> 이라는 뜻 입니다. 김재원 창업자가 평생의 동반자가 되어준 아내에게 감사하며 이름지었습니다.
230,오마카세 오사이 대학로점,도미 머리구이,혜화역1번 출구에서251m,영업 중21:30에 영업 종료21시 30분에 영업 종료,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간,네이버 평점 4.8(만점5) 오마카세 오사이초밥 혜화 대학로에 입점. 저희 오사이초밥 대학로점은 경력 10년 이상의 일식 쉐프가 만듭니다 최고 가성비 오마카세 스시야를 추구하고 있어서 다들 만족하시고 가는 혜화 대학로 인기 맛집이라 자부합니다^^ 또 저희 오사이 초밥은 조용하고 아담한 11석 다찌 구조의 오마카세 스시야라 데이트 / 가족모임 / 단체회식 / 기념일 / 혼밥 하기에 좋은 분위기로 맛있게 즐기실 수 있습니다. 1. 오사이초밥 대학로점은 극장가 인근에 위치해 있으며 4호선 혜화역 1번출구 5분거리 인근에 위치해 있습니다. 무료 주차 공간은 따로 없고 저희 매장과 가까운 주차시설은 매장 옆 발렛업체와 건너편 자유극장 주차장이 있습니다^^ 2. 한꺼번에 최대 11인 까지 이용 가능한 공간입니다. 100% 예약제로 운영합니다.(예약 후 현장에서 법인카드 등 결제 방식 변경 가능) 식사는 시간 별로 입장하여 번잡하거나 식사 중 방해 받지 않습니다. 친절한 안내에 따라 오마카세 스시야의 맛을 차례 차례 즐기실 수 있습니다. 자리가 부족하여 원하시는 시간대에 예약이 안되는 경우가 있습니다. 양해 부탁 드립니다. 3. 런치는 19000원 디너는 29000원 으로 진행되고 있으며 디너에는 음료/주류(콜라사이다 제외) 필수 주문으로 진행되고 있습니다. 4. 계절에 따라 변화하는 제철 식재료 다양하게 사용합니다. 베테랑 일식 쉐프의 손맛으로 스시를 빚어 친절한 안내와 함께 제공합니다. 간장을 사용하는 스시인지 그냥 드시면 좋은지^^ 생선은 어떤 종류인지 간략히 설명을 들으며 식사하실 수 있습니다. 5. 한번 오신 손님 대부분은 다시 찾겠다는 리뷰를 달아주시고 계십니다. 정말 감사 드립니다. 부담 없이 오마카세 제대로 즐겼다는 손님들의 한마디 리뷰를 볼 때마다 미소가 지어지며 보람을 느낍니다. <오마카세 뜻> 오마카세는 <주방특선> 요리 형식인 일식 요리의 일종. 흔히 <요리사특선>으로 번역하고 그날의 재료로 요리를 준비한 상차림을 의미. 특별히 일식 초밥(스시)요리에 관련해서 독특한 문화를 지칭할 때 일본어 단어를 그대로 씁니다. 일본에서 유래하였으며 음식이나 요리의 이름보다는 음식을 제공하는 형태임. 일본어의 <맡기다>는 뜻의 任せる(마카세루)에서 명사형인 任せ(마카세)의 앞에 존경형태인 お(오)를 붙여 오마카세로 불림. 맡겼다는 부분에서 추측할 수 있듯이 정해진 메뉴가 아니라 그날그날 재료 등에 따라 스시가게의 주방장의 재량에 맡겨 정해진 요리를 내어주는 것을 의미. 예약 손님을 받아 일정 부분만 제공하는 만큼 속도 및 손님 개개인의 취향 알러지 등을 존중한다. 즉석에서 스시를 내어주며 설명을 해준다. 네타(올라가는 회)나 샤리(밥)등이 중요. (위키백과 수정) <오사이 뜻> 일본어로 오(남자) 사이고노(최종) 아이(사랑)의 줄임말로 <남자의 마지막 사랑> 이라는 뜻 입니다. 김재원 창업자가 평생의 동반자가 되어준 아내에게 감사하며 이름지었습니다.
231,오마카세 오사이 대학로점,연어 머리구이,혜화역1번 출구에서251m,영업 중21:30에 영업 종료21시 30분에 영업 종료,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간,네이버 평점 4.8(만점5) 오마카세 오사이초밥 혜화 대학로에 입점. 저희 오사이초밥 대학로점은 경력 10년 이상의 일식 쉐프가 만듭니다 최고 가성비 오마카세 스시야를 추구하고 있어서 다들 만족하시고 가는 혜화 대학로 인기 맛집이라 자부합니다^^ 또 저희 오사이 초밥은 조용하고 아담한 11석 다찌 구조의 오마카세 스시야라 데이트 / 가족모임 / 단체회식 / 기념일 / 혼밥 하기에 좋은 분위기로 맛있게 즐기실 수 있습니다. 1. 오사이초밥 대학로점은 극장가 인근에 위치해 있으며 4호선 혜화역 1번출구 5분거리 인근에 위치해 있습니다. 무료 주차 공간은 따로 없고 저희 매장과 가까운 주차시설은 매장 옆 발렛업체와 건너편 자유극장 주차장이 있습니다^^ 2. 한꺼번에 최대 11인 까지 이용 가능한 공간입니다. 100% 예약제로 운영합니다.(예약 후 현장에서 법인카드 등 결제 방식 변경 가능) 식사는 시간 별로 입장하여 번잡하거나 식사 중 방해 받지 않습니다. 친절한 안내에 따라 오마카세 스시야의 맛을 차례 차례 즐기실 수 있습니다. 자리가 부족하여 원하시는 시간대에 예약이 안되는 경우가 있습니다. 양해 부탁 드립니다. 3. 런치는 19000원 디너는 29000원 으로 진행되고 있으며 디너에는 음료/주류(콜라사이다 제외) 필수 주문으로 진행되고 있습니다. 4. 계절에 따라 변화하는 제철 식재료 다양하게 사용합니다. 베테랑 일식 쉐프의 손맛으로 스시를 빚어 친절한 안내와 함께 제공합니다. 간장을 사용하는 스시인지 그냥 드시면 좋은지^^ 생선은 어떤 종류인지 간략히 설명을 들으며 식사하실 수 있습니다. 5. 한번 오신 손님 대부분은 다시 찾겠다는 리뷰를 달아주시고 계십니다. 정말 감사 드립니다. 부담 없이 오마카세 제대로 즐겼다는 손님들의 한마디 리뷰를 볼 때마다 미소가 지어지며 보람을 느낍니다. <오마카세 뜻> 오마카세는 <주방특선> 요리 형식인 일식 요리의 일종. 흔히 <요리사특선>으로 번역하고 그날의 재료로 요리를 준비한 상차림을 의미. 특별히 일식 초밥(스시)요리에 관련해서 독특한 문화를 지칭할 때 일본어 단어를 그대로 씁니다. 일본에서 유래하였으며 음식이나 요리의 이름보다는 음식을 제공하는 형태임. 일본어의 <맡기다>는 뜻의 任せる(마카세루)에서 명사형인 任せ(마카세)의 앞에 존경형태인 お(오)를 붙여 오마카세로 불림. 맡겼다는 부분에서 추측할 수 있듯이 정해진 메뉴가 아니라 그날그날 재료 등에 따라 스시가게의 주방장의 재량에 맡겨 정해진 요리를 내어주는 것을 의미. 예약 손님을 받아 일정 부분만 제공하는 만큼 속도 및 손님 개개인의 취향 알러지 등을 존중한다. 즉석에서 스시를 내어주며 설명을 해준다. 네타(올라가는 회)나 샤리(밥)등이 중요. (위키백과 수정) <오사이 뜻> 일본어로 오(남자) 사이고노(최종) 아이(사랑)의 줄임말로 <남자의 마지막 사랑> 이라는 뜻 입니다. 김재원 창업자가 평생의 동반자가 되어준 아내에게 감사하며 이름지었습니다.
232,어사출또 대학로점,활어회 광어 小,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
233,어사출또 대학로점,연어 小,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
234,어사출또 대학로점,점성어 小,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
235,어사출또 대학로점,농어,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
236,어사출또 대학로점,참돔,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
237,어사출또 대학로점,도다리세꼬시,혜화역1번 출구에서228m,영업 중22:30에 라스트오더22시 30분에 라스트오더,주차 포장 배달 예약 남/녀 화장실 구분 장애인 편의시설,신선한 활어회를 맛있고 깔끔하게 정성스럽게 준비했습니다
238,도마 유즈라멘,유즈시오(소금)라멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
239,도마 유즈라멘,도마모듬B (150g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
240,도마 유즈라멘,유즈쇼유(간장)라멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
241,도마 유즈라멘,매운유즈쇼유라멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
242,도마 유즈라멘,매운유즈시오라멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
243,도마 유즈라멘,유즈츠케멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
244,도마 유즈라멘,육회츠케멘,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
245,도마 유즈라멘,스페셜모듬(180g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
246,도마 유즈라멘,도마모듬A (150g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
247,도마 유즈라멘,나혼자모듬(200g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
248,도마 유즈라멘,영주 한우 초신선 뭉티기 (100g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
249,도마 유즈라멘,영주 한우 초신선 뭉티기(200g),안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
250,도마 유즈라멘,특상 한우 우설,안국역3번 출구에서139m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분,서울역 유즈라멘이 두번째 걸음으로 2009년 홍대에서 소고기전문점으로 오픈한 도마는 네번째 걸음으로 도마&유즈라멘 안국점을 오픈하였습니다. 서울에서 가장 맛있는 마약된장찌개와 유즈라멘을 동시에 드실수 있는 한국 최초의 매장인 안국점도 많이 사랑해주세요. 도마 운영시간은 평일 - 디너 (17시 ~ 21시30분) 주말 & 공휴일 - 런치 (11시 ~ 14시) / 디너 (17시 ~ 21시30분) 입니다. 항상 맛있게 멋있게 친절한 도마와 유즈라멘이 되겠습니다.
